Home,Postcode,Competition
Exeter,EX4 4QN,Men's Western Tier 3
Marjon,,ICG Women's Western Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 3
Cardiff Met,,ICG Women's Western Tier 3
Aberystwyth,SA48 7BX,ICG Women's Western Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 5
Leicester,LE2 2LL,Men's Midlands Tier 2
St George's,,ICG Women's South Eastern Tier 5
Royal Agricultural,,ICG Women's Western Tier 4
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
Cardiff,CF14 3AT,ICG Women's Western Tier 4
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
Imperial,TW7 4NQ,ICG Women's South Eastern Tier 5
Loughborough,LE11 3TU,ICG Women's Midlands Tier 2
Swansea,,ICG Women's Western Tier 2
Bristol,BS9 2BJ,Men's Western Tier 3
Cardiff,,Men's Western Tier 2
Roehampton,SW15 5JQ,Men's South Eastern Tier 3
Sheffield,S8 8PS,ICG Women's Northern Tier 5
Kent,CT2 7SR,Men's South Eastern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 4
Liverpool,L18 6HF,Men's Northern Tier 1
Birmingham,B15 2GR,Men's Midlands Tier 1
Nottingham Trent,,ICG Women's Premier (National)
King's College  (GKT),SE23 1NW,Men's Premier (North/South)
Leeds,LS16 5AU,ICG Women's Premier (North/South)
Loughborough,LE11 3TU,ICG Women's Premier (National)
Exeter,EX4 4QN,Men's Premier (National)
Liverpool,L18 6HF,ICG Women's Premier (North/South)
Cardiff,CF14 3AT,Men's Premier (North/South)
Queen Mary,,Men's South Eastern Tier 3
Nottingham Trent,,Men's Premier (North/South)
Kent,CT2 7SR,Men's South Eastern Tier 5
Bath,BA2 7AY,Men's Premier (National)
Hull,,ICG Women's Northern Tier 5
Cambridge,CB3 0EQ,Men's Premier (North/South)
Loughborough,LE11 3TU,Men's Premier (National)
King's College,SE23 1NW,ICG Women's Premier (North/South)
St Andrews,KY16 9DY,Men's Scottish Tier 4
Exeter,EX4 4QN,ICG Women's Premier (National)
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Bath,BA2 7AY,ICG Women's Premier (National)
Loughborough,LE11 3TU,ICG Women's Premier (North/South)
Edinburgh Napier,,ICG Women's Scottish Tier 5
Dundee,DD2 1UQ,ICG Women's Scottish Tier 3 
Cambridge,CB3 0EQ,ICG Women's Premier (North/South)
Robert Gordon,,Men's Scottish Tier 4
Nottingham Trent,,Men's Premier (National)
Loughborough,LE11 3TU,Men's Premier (North/South)
Stirling,FK9 4LA,Men's Scottish Tier 4
Nottingham Trent,,Men's Midlands Tier 4
Edinburgh Napier,,ICG Women's Scottish Tier 3 
Glasgow,,ICG Women's Scottish Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Liverpool,L18 6HF,ICG Women's Northern Tier 2
Nottingham,NG7 2PS,Men's Premier (National)
Cardiff,CF14 3AT,Men's Western Tier 2
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 4
Lincoln,,Men's Midlands Tier 3
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2
Strathclyde,G33 6ND,Men's Scottish Tier 2
City,,Men's South Eastern Tier 3
Arts London,E20 3AD,ICG Women's South Eastern Tier 3
Cardiff Met,,Men's Premier (North/South)
Queen Margaret,,ICG Women's Scottish Tier 5
Nottingham Trent,,ICG Women's Midlands Tier 2
Glasgow,,Men's Scottish Tier 1
Birmingham,B15 2GR,ICG Women's Midlands Tier 2
Newcastle,NE12 8AD,Men's Northern Tier 1
Oxford,OX4 1SR,Men's Midlands Tier 1
Birmingham,B15 2GR,Men's Premier (North/South)
Sheffield Hallam,,Men's Northern Tier 4
Edinburgh,,Men's Scottish Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Sheffield,S8 8PS,Men's Northern Tier 2
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 2
Nottingham,NG7 2PS,ICG Women's Midlands Tier 1
King's College  (GKT),SE23 1NW,Men's Premier (North/South)
Durham,,ICG Women's Premier (North/South)
Leeds,LS16 5AU,ICG Women's Premier (North/South)
Bristol,BS9 2BJ,ICG Women's Premier (North/South)
Royal Holloway,,Men's South Eastern Tier 4
Glasgow Caledonian,G40 1HB,Men's Scottish Tier 2
Manchester,M14 6HE,Men's Northern Tier 3
York,YO10 5NA,Men's Northern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 4
Lincoln,,ICG Women's Midlands Tier 3
Exeter,EX4 4QN,ICG Women's Western Tier 2
Manchester Met,M14 6HE,ICG Women's Northern Tier 1
Exeter,EX4 4QN,Men's Western Tier 1
Leeds Beckett,LS6 3QQ,Men's Premier (North/South)
Durham,,ICG Women's Premier (National)
Warwick,CV4 8AH,Men's Midlands Tier 2
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 5
Strathclyde,G33 6ND,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 5
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Queen Mary,,ICG Women's South Eastern Tier 3
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
Bath Spa,,ICG Women's Western Tier 4
UCL,W4 2SH,ICG Women's South Eastern Tier 3
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
St Andrews,KY16 9DY,Men's Scottish Tier 3
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 2
Nottingham Trent,,ICG Women's Midlands Tier 3
Cardiff Met,,ICG Women's Premier (North/South)
Bristol,BS9 2BJ,Men's Western Tier 3
Cambridge,CB3 0EQ,Men's Midlands Tier 2
Kent,CT2 7SR,ICG Women's South Eastern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 2
Sheffield Hallam,,ICG Women's Northern Tier 2
Greenwich,,Men's South Eastern Tier 5
Cumbria,LA1 3DY,Men's Northern Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 4
Edinburgh,,Men's Scottish Tier 1
Hull,,ICG Women's Northern Tier 4
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 2
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 2
Essex,CO4 3SQ,ICG Women's South Eastern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 1
Chichester,PO19 6PE,Men's South Eastern Tier 1
Nottingham,NG7 2PS,Men's Premier (North/South)
Bath,BA2 7AY,Men's Premier (National)
Birmingham,B15 2GR,Men's Premier (National)
Reading,RG6 6UR,ICG Women's Premier (North/South)
Marjon,,ICG Women's Western Tier 3
Cardiff,CF14 3AT,ICG Women's Western Tier 3
Harper Adams,TF10 8NB,ICG Women's Midlands Tier 4
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Royal Veterinary College,,ICG Women's South Eastern Tier 5
Robert Gordon,,ICG Women's Scottish Tier 5
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Sheffield,S8 8PS,Men's Northern Tier 3
Bangor,LL57 2EH,Men's Northern Tier 5
Strathclyde,G33 6ND,ICG Women's Scottish Tier 3 
Northumbria,,Men's Northern Tier 2
Sheffield Hallam,,ICG Women's Northern Tier 5
Durham,,ICG Women's Northern Tier 4
Bristol,BS9 2BJ,Men's Premier (North/South)
King's College,SE23 1NW,ICG Women's Premier (North/South)
Chester,,ICG Women's Northern Tier 3
Sussex,,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Edinburgh,,ICG Women's Scottish Tier 5
UCLan,PR2 1SG,Men's Northern Tier 5
Imperial,UB3 5AQ,Men's South Eastern Tier 3
Manchester,M14 6HE,Men's Northern Tier 4
York,YO10 5NA,Men's Northern Tier 4
Lincoln,,Men's Midlands Tier 4
Surrey,GU2 7AD,Men's South Eastern Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 1
Salford,WA15 7LU,Men's Northern Tier 3
UCL,W4 2SH,Men's South Eastern Tier 3
Liverpool,L18 6HF,Men's Northern Tier 2
Portsmouth,PO4 8LW,Men's South Eastern Tier 2
Manchester Met,M14 6HE,ICG Women's Northern Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 4
Leicester,LE2 2LL,ICG Women's Midlands Tier 3
Kent,CT2 7SR,ICG Women's South Eastern Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 1
Exeter,EX4 4QN,ICG Women's Western Tier 1
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 1
Durham,,Men's Premier (National)
Aberystwyth,SA48 7BX,Men's Western Tier 3
De Montfort,LE12 7FG,ICG Women's Midlands Tier 4
Salford,WA15 7LU,ICG Women's Northern Tier 3
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Edge Hill,L39 4QP,Men's Northern Tier 3
Royal Holloway,,ICG Women's South Eastern Tier 2
Oxford Brookes,OX3 0GB,Men's Midlands Tier 2
Nottingham Trent,,ICG Women's Midlands Tier 2
Leeds,LS16 5AU,Men's Northern Tier 4
Edinburgh,,ICG Women's Scottish Tier 1
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 1
Bristol,BS9 2BJ,ICG Women's Western Tier 1
Reading,RG6 6UR,Men's Premier (North/South)
Nottingham,NG7 2PS,ICG Women's Premier (North/South)
Bath,BA2 7AY,ICG Women's Premier (National)
Bournemouth,BH23 6BL,Men's Western Tier 3
Solent,,Men's Western Tier 3
Cardiff  (Medics),CF14 3AT,Men's Western Tier 3
Swansea,,ICG Women's Western Tier 3
Glasgow,G20 0SP,ICG Women's Scottish Tier 4
Southampton,SO50 5PE,ICG Women's Western Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 3
Lancaster,LA1 4YQ,Men's Northern Tier 1
Cardiff Met,,ICG Women's Western Tier 3
Bucks New,HP7 9HN,Men's South Eastern Tier 5
Strathclyde,G33 6ND,ICG Women's Scottish Tier 1
Edinburgh,,Men's Scottish Tier 3
Hull,,Men's Northern Tier 3
Durham,,Men's Northern Tier 3
Brunel,UB8 3PH,Men's South Eastern Tier 2
Harper Adams,TF10 8NB,ICG Women's Midlands Tier 3
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2
Birmingham,B15 2GR,ICG Women's Premier (North/South)
Birmingham,B15 2GR,ICG Women's Premier (National)
Coventry,CV4 8GP,ICG Women's Midlands Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 3
Royal Veterinary College,,ICG Women's South Eastern Tier 5
UCLan,PR2 1SG,ICG Women's Northern Tier 3
USW,,Men's Western Tier 4
Aberdeen,,ICG Women's Scottish Tier 2
Essex,CO4 3SQ,Men's South Eastern Tier 2
King's College,SE23 1NW,Men's South Eastern Tier 2
Sheffield Hallam,,ICG Women's Northern Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
Kent,CT2 7SR,ICG Women's South Eastern Tier 2
Sussex,,ICG Women's South Eastern Tier 1
Imperial,TW7 4NQ,Men's South Eastern Tier 1
Oxford Brookes,OX4 1SR,ICG Women's Midlands Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 5
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Aberdeen,,ICG Women's Scottish Tier 5
Roehampton,SW15 5JQ,ICG Women's South Eastern Tier 5
UCL,W4 2SH,Men's South Eastern Tier 4
Liverpool,L18 6HF,Men's Northern Tier 4
Heriot-Watt,,Men's Scottish Tier 1
Stirling,FK9 4LA,Men's Scottish Tier 2
Robert Gordon,,ICG Women's Scottish Tier 2
Glasgow,G20 0SP,ICG Women's Scottish Tier 3 
Surrey,GU2 7AD,Men's South Eastern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 5
Reading,RG6 6UR,ICG Women's South Eastern Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 2
UWE,,ICG Women's Western Tier 2
Brighton,,ICG Women's South Eastern Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Nottingham Trent,,Men's Midlands Tier 1
Southampton,SO50 5PE,Men's Western Tier 1
Portsmouth,PO4 8LW,Men's South Eastern Tier 1
Durham,,Men's Premier (North/South)
Nottingham,NG7 2PS,ICG Women's Premier (National)
Exeter,EX4 4QN,Men's Western Tier 2
Bath,BA2 7AY,Men's Western Tier 2
Exeter,EX4 4QN,ICG Women's Western Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 5
Leicester,LE2 2LL,Men's Midlands Tier 2
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
Cardiff,CF14 3AT,ICG Women's Western Tier 4
Cardiff Met,,ICG Women's Western Tier 4
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 5
Swansea,,Men's Western Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Durham,,ICG Women's Northern Tier 1
Cardiff,,ICG Women's Western Tier 2
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Birmingham,B15 2GR,Men's Midlands Tier 1
Plymouth,PL6 8BH,Men's Western Tier 2
Birmingham,B15 2GR,Men's Midlands Tier 2
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 4
LSE,,Men's South Eastern Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 3
Nottingham,NG7 2PS,Men's Premier (North/South)
Nottingham Trent,,ICG Women's Midlands Tier 5
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 1
Cardiff,CF14 3AT,ICG Women's Western Tier 1
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 5
Cardiff Met,,Men's Premier (North/South)
Nottingham,NG7 2PS,Men's Premier (National)
Loughborough,,Men's Premier (National)
Newcastle,NE12 8AD,Men's Northern Tier 1
Oxford,OX4 1SR,Men's Premier (National)
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2
Sheffield,S8 8PS,ICG Women's Northern Tier 1
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 1
Bristol,BS9 2BJ,Men's Premier (North/South)
Bedfordshire,,ICG Women's Midlands Tier 4
Edinburgh,,ICG Women's Scottish Tier 4
Manchester Met,M14 6HE,ICG Women's Northern Tier 1
UWS,G41 4LB,ICG Women's Scottish Tier 5
Nottingham Trent,,Men's Midlands Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 1
Queen Mary  (Barts),E1W 2QD,ICG Women's South Eastern Tier 1
Oxford Brookes,OX3 0GB,Men's Premier (North/South)
Cardiff Met,,ICG Women's Premier (North/South)
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 1
Nottingham,NG7 2PS,ICG Women's Premier (National)
Sheffield Hallam,,Men's Premier (North/South)
Robert Gordon,,Men's Scottish Tier 4
UCL,W4 2SH,ICG Women's Premier (North/South)
Swansea,,ICG Women's Premier (North/South)
Oxford,OX4 1SR,ICG Women's Premier (National)
Warwick,CV4 8AH,Men's Midlands Tier 2
Aberdeen,,ICG Women's Scottish Tier 4
Aberdeen,,ICG Women's Scottish Tier 5
Southampton,SO50 5PE,Men's Western Tier 4
Edinburgh,,Men's Premier (National)
Bristol,BS9 2BJ,ICG Women's Western Tier 1
Cambridge,CB3 0EQ,Men's Premier (North/South)
Loughborough,LE11 3TU,ICG Women's Premier (National)
St Andrews,KY16 9DY,Men's Scottish Tier 4
Manchester,M14 6HE,Men's Northern Tier 2
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 1
Chichester,PO19 6PE,Men's South Eastern Tier 1
Glasgow,G20 0SP,ICG Women's Premier (North/South)
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 5
Exeter,EX4 4QN,ICG Women's Western Tier 1
Lancaster,LA1 4YQ,Men's Northern Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 4
Nottingham,NG7 2PS,Men's Midlands Tier 1
Oxford Brookes,OX3 0GB,ICG Women's Premier (North/South)
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Birmingham,B15 2GR,Men's Premier (North/South)
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
Oxford,OX4 1SR,Men's Midlands Tier 1
UCL,W4 2SH,Men's South Eastern Tier 1
Loughborough,LE11 3TU,ICG Women's Premier (North/South)
Edinburgh,,ICG Women's Premier (National)
St Andrews,KY16 9DY,Men's Scottish Tier 3
Edinburgh,,ICG Women's Scottish Tier 3 
Sussex,,ICG Women's South Eastern Tier 1
Imperial,UB3 5AQ,Men's South Eastern Tier 1
Cambridge,CB3 0EQ,ICG Women's Premier (North/South)
Aberdeen,,ICG Women's Scottish Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Manchester Met,,Men's Northern Tier 1
Nottingham Trent,,Men's Midlands Tier 1
Bath,BA2 7AY,Men's Western Tier 1
Exeter,EX4 4QN,Men's Western Tier 1
Southampton,SO50 5PE,Men's Western Tier 1
Nottingham,NG7 2PS,ICG Women's Premier (North/South)
UWE,,Men's Western Tier 2
Stirling,FK9 4LA,Men's Scottish Tier 4
Loughborough,LE11 3TU,Men's Premier (North/South)
Edinburgh,,ICG Women's Scottish Tier 5
Cardiff,,ICG Women's Western Tier 4
Heriot-Watt,,ICG Women's Scottish Tier 5
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Cardiff,CF14 3AT,Men's Western Tier 2
Newcastle,NE12 8AD,Men's Northern Tier 2
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 4
Bolton,BL1 5BP,Men's Northern Tier 5
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Nottingham Trent,,Men's Midlands Tier 4
Oxford,OX4 1SR,Men's Midlands Tier 3
Edinburgh,,Men's Scottish Tier 4
Sheffield,S8 8PS,Men's Northern Tier 2
Chester,,ICG Women's Northern Tier 5
Sheffield Hallam,,ICG Women's Northern Tier 5
Durham,,ICG Women's Northern Tier 4
Leeds,LS16 5AU,Men's Northern Tier 1
Sussex,,Men's South Eastern Tier 1
Bedfordshire,,ICG Women's Midlands Tier 4
Derby,DE22 1JD,ICG Women's Midlands Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 4
Warwick,CV4 8AH,Men's Midlands Tier 3
Cardiff,CF14 3AT,Men's Western Tier 2
York,YO10 5NA,Men's Northern Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 2
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 1
Liverpool,L18 6HF,Men's Northern Tier 1
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Surrey,GU2 7AD,ICG Women's South Eastern Tier 4
Royal Holloway,,ICG Women's South Eastern Tier 5
Exeter,EX4 4QN,Men's Western Tier 4
Newcastle,NE12 8AD,ICG Women's Premier (North/South)
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 4
Bath Spa,,ICG Women's Western Tier 4
UCL,W4 2SH,ICG Women's South Eastern Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 4
Durham,,Men's Northern Tier 2
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 3
Cardiff Met,,ICG Women's Western Tier 1
Birmingham,B15 2GR,Men's Midlands Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 4
Cambridge,CB3 0EQ,Men's Midlands Tier 2
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
UCL,EN4 0PS,ICG Women's South Eastern Tier 5
Lancaster,LA1 4YQ,ICG Women's Northern Tier 4
Greenwich,,Men's South Eastern Tier 5
Edinburgh,,Men's Scottish Tier 1
Leeds,LS16 5AU,Men's Northern Tier 3
Bangor,LL57 2EH,ICG Women's Northern Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 1
Swansea,,Men's Western Tier 1
Bath,BA2 7AY,Men's Western Tier 3
Gloucestershire,GL2 9DW,Men's Western Tier 2
Southampton,SO50 5PE,ICG Women's Western Tier 3
Aston,,Men's Midlands Tier 2
East Anglia,NR4 7TJ,Men's Midlands Tier 3
Cardiff  (Medics),CF14 3AT,Men's Western Tier 3
UCLan,PR2 1SG,Men's Northern Tier 5
Sheffield,S8 8PS,Men's Northern Tier 3
York St John,,Men's Northern Tier 5
Chester,,Men's Northern Tier 2
Sheffield Hallam,,Men's Northern Tier 2
Warwick,CV4 8UW,ICG Women's Midlands Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 1
Imperial,UB3 5AQ,Men's South Eastern Tier 4
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 4
Leicester,LE2 2LL,Men's Midlands Tier 4
Dundee,DD2 1UQ,Men's Scottish Tier 2
Liverpool John Moores,,Men's Northern Tier 3
UCL,W4 2SH,Men's South Eastern Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 2
Manchester Met,M14 6HE,ICG Women's Northern Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 5
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
York,YO10 5NA,ICG Women's Northern Tier 4
Surrey,GU2 7AD,ICG Women's South Eastern Tier 3
UWE,,ICG Women's Western Tier 2
LSE,,ICG Women's South Eastern Tier 2
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2
Kent,CT2 7SR,ICG Women's South Eastern Tier 2
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 1
Nottingham,NG7 2PS,Men's Midlands Tier 1
Exeter,EX4 4QN,Men's Western Tier 3
Plymouth,PL6 8BH,ICG Women's Western Tier 3
Liverpool,L18 6HF,ICG Women's Northern Tier 3
Royal Holloway,,ICG Women's South Eastern Tier 4
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Royal Agricultural,,Men's Western Tier 4
Durham,,ICG Women's Northern Tier 2
Durham,,Men's Northern Tier 1
Nottingham Trent,,Men's Midlands Tier 3
Lancaster,LA1 4YQ,Men's Northern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Leeds,LS16 5AU,Men's Northern Tier 4
Worcester,WR3 7SW,Men's Midlands Tier 4
Edinburgh,,ICG Women's Scottish Tier 1
Glasgow,G20 0SP,Men's Scottish Tier 4
Imperial,TW7 4NQ,Men's South Eastern Tier 3
Birmingham,B15 2GR,ICG Women's Midlands Tier 2
Bath,BA2 7AY,ICG Women's Western Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Southampton,SO50 5PE,ICG Women's Western Tier 1
Bournemouth,BH23 6BL,Men's Western Tier 1
Bristol,BS9 2BJ,Men's Western Tier 3
Worcester,WR3 7SW,ICG Women's Midlands Tier 4
Nottingham,NG7 2RJ,Men's Midlands Tier 2
Birmingham,B15 2GR,Men's Midlands Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Solent,,ICG Women's Western Tier 4
Cardiff Met,,ICG Women's Western Tier 4
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 4
Royal Veterinary College,,ICG Women's South Eastern Tier 5
Sheffield,S8 8PS,Men's Northern Tier 4
Bangor,LL57 2EH,Men's Northern Tier 2
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 3
USW,,ICG Women's Western Tier 2
Brunel,UB8 3PH,ICG Women's South Eastern Tier 2
Oxford,OX4 1SR,Men's Midlands Tier 1
Coventry,CV4 8GP,Men's Midlands Tier 2
Sussex,,Men's South Eastern Tier 4
St Andrews,KY16 9DY,Men's Scottish Tier 1
Dundee,DD2 1UQ,ICG Women's Scottish Tier 1
Aberdeen,,ICG Women's Scottish Tier 2
Queen Mary,,Men's South Eastern Tier 3
LSE,,Men's South Eastern Tier 2
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Sheffield Hallam,,ICG Women's Northern Tier 5
Hull,,ICG Women's Northern Tier 4
Northumbria,,ICG Women's Northern Tier 2
Bristol,BS9 2BJ,Men's Western Tier 1
Kent,CT2 7SR,Men's South Eastern Tier 1
Northumbria,,ICG Women's Northern Tier 3
St George's,,ICG Women's South Eastern Tier 5
Essex,CO4 3SQ,ICG Women's South Eastern Tier 5
UWE,BS16 1QY,ICG Women's Western Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
UCL,W4 2SH,Men's South Eastern Tier 4
Lancaster,LA1 4YQ,Men's Northern Tier 4
Leeds,LS16 5AU,Men's Northern Tier 5
Manchester,M14 6HE,Men's Northern Tier 4
Nottingham,NG7 2RJ,Men's Midlands Tier 4
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
Canterbury CC,CT3 4AF,Men's South Eastern Tier 4
Glasgow,G20 0SP,Men's Scottish Tier 1
Robert Gordon,,ICG Women's Scottish Tier 2
Abertay,DD4 7AA,ICG Women's Scottish Tier 2
Royal Holloway,,Men's South Eastern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 5
York St John,,ICG Women's Northern Tier 5
York,YO10 5NA,ICG Women's Northern Tier 5
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 4
Leicester,LE2 2LL,ICG Women's Midlands Tier 3
St George's,,ICG Women's South Eastern Tier 3
Liverpool John Moores,,ICG Women's Northern Tier 2
Durham,,ICG Women's Northern Tier 2
Nottingham Trent,,ICG Women's Midlands Tier 2
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Imperial  (Medics),TW7 4NQ,ICG Women's South Eastern Tier 2
Durham,,ICG Women's Northern Tier 1
Exeter,EX4 4QN,ICG Women's Western Tier 1
St Mary's,TW11 9BE,ICG Women's South Eastern Tier 1
Surrey,GU2 7AD,ICG Women's South Eastern Tier 1
Portsmouth,PO4 8LW,Men's South Eastern Tier 1
Bath,BA2 7AY,Men's Western Tier 2
Plymouth,PL6 8BH,Men's Western Tier 2
Aberystwyth,SA48 7BX,ICG Women's Western Tier 3
Loughborough,LE11 3TU,ICG Women's Midlands Tier 5
Keele,,ICG Women's Northern Tier 3
Chester,,ICG Women's Northern Tier 3
Winchester,SO23 0QA,Men's Western Tier 4
Royal Agricultural,,ICG Women's Western Tier 4
Cardiff Met,,ICG Women's Western Tier 4
Cardiff,CF14 3AT,ICG Women's Western Tier 4
Lincoln,,Men's Midlands Tier 3
Edge Hill,L39 4QP,Men's Northern Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Stirling,FK9 4LA,Men's Scottish Tier 2
Cardiff,,Men's Western Tier 3
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Sheffield,S8 8PS,Men's Northern Tier 4
Leeds Beckett,LS6 3QQ,Men's Northern Tier 5
Kent,CT2 7SR,Men's South Eastern Tier 3
UWE,,Men's Western Tier 2
Cardiff,CF14 3AT,ICG Women's Western Tier 3
Nottingham Trent,,Men's Midlands Tier 3
St George's,,Men's South Eastern Tier 3
Nottingham Trent,,Men's Midlands Tier 1
Newcastle,NE12 8AD,Men's Northern Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Cardiff,CF14 3AT,ICG Women's Western Tier 1
